StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Eta,Q2,Q2_3_TEXT,PSWQ_1,PSWQ_2,PSWQ_3,PSWQ_4,PSWQ_5,PSWQ_6,PSWQ_7,PSWQ_8,PSWQ_9,PSWQ_10,PSWQ_11,PSWQ_12,PSWQ_13,PSWQ_14,PSWQ_15,PSWQ_16
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Quanti anni hai?,Il genere con cui mi identifico è... - Selected Choice,"Il genere con cui mi identifico è... - Se altro, scrivi qui - Text","Per favore legga attentamente ogni affermazione e valuti quanto si trova in accordo con essa, ponendo il numero appropriato nello spazio apposito accanto a
ciascuna affermazione.
È importante ricordare che non ci sono risposte giuste o sbagliate. 

Non si soffermi troppo su ogni affermazione: la prima risposta è spesso la più accurata.


Grazie

1 = Per nulla d'accordo; 3 = Abbastanza d'accordo; 4 = Completamente d'accordo - Anche se non ho tempo a sufficienza per svolgere tutte le mie attività, non mi preoccupo.","Per favore legga attentamente ogni affermazione e valuti quanto si trova in accordo con essa, ponendo il numero appropriato nello spazio apposito accanto a
ciascuna affermazione.
È importante ricordare che non ci sono risposte giuste o sbagliate. 

Non si soffermi troppo su ogni affermazione: la prima risposta è spesso la più accurata.


Grazie

1 = Per nulla d'accordo; 3 = Abbastanza d'accordo; 4 = Completamente d'accordo - Le mie preoccupazioni mi invadono e non riesco a liberarmene.","Per favore legga attentamente ogni affermazione e valuti quanto si trova in accordo con essa, ponendo il numero appropriato nello spazio apposito accanto a
ciascuna affermazione.
È importante ricordare che non ci sono risposte giuste o sbagliate. 

Non si soffermi troppo su ogni affermazione: la prima risposta è spesso la più accurata.


Grazie

1 = Per nulla d'accordo; 3 = Abbastanza d'accordo; 4 = Completamente d'accordo - Non tendo a preoccuparmi per le cose.","Per favore legga attentamente ogni affermazione e valuti quanto si trova in accordo con essa, ponendo il numero appropriato nello spazio apposito accanto a
ciascuna affermazione.
È importante ricordare che non ci sono risposte giuste o sbagliate. 

Non si soffermi troppo su ogni affermazione: la prima risposta è spesso la più accurata.


Grazie

1 = Per nulla d'accordo; 3 = Abbastanza d'accordo; 4 = Completamente d'accordo - Molte situazioni sono fonte di preoccupazione per me.","Per favore legga attentamente ogni affermazione e valuti quanto si trova in accordo con essa, ponendo il numero appropriato nello spazio apposito accanto a
ciascuna affermazione.
È importante ricordare che non ci sono risposte giuste o sbagliate. 

Non si soffermi troppo su ogni affermazione: la prima risposta è spesso la più accurata.


Grazie

1 = Per nulla d'accordo; 3 = Abbastanza d'accordo; 4 = Completamente d'accordo - Non posso fare a meno di preoccuparmi, anche se so che non dovrei.","Per favore legga attentamente ogni affermazione e valuti quanto si trova in accordo con essa, ponendo il numero appropriato nello spazio apposito accanto a
ciascuna affermazione.
È importante ricordare che non ci sono risposte giuste o sbagliate. 

Non si soffermi troppo su ogni affermazione: la prima risposta è spesso la più accurata.


Grazie

1 = Per nulla d'accordo; 3 = Abbastanza d'accordo; 4 = Completamente d'accordo - Ho notato che quando sono sotto pressione mi preoccupo molto.","Per favore legga attentamente ogni affermazione e valuti quanto si trova in accordo con essa, ponendo il numero appropriato nello spazio apposito accanto a
ciascuna affermazione.
È importante ricordare che non ci sono risposte giuste o sbagliate. 

Non si soffermi troppo su ogni affermazione: la prima risposta è spesso la più accurata.


Grazie

1 = Per nulla d'accordo; 3 = Abbastanza d'accordo; 4 = Completamente d'accordo - Sono sempre preoccupato per qualcosa.","Per favore legga attentamente ogni affermazione e valuti quanto si trova in accordo con essa, ponendo il numero appropriato nello spazio apposito accanto a
ciascuna affermazione.
È importante ricordare che non ci sono risposte giuste o sbagliate. 

Non si soffermi troppo su ogni affermazione: la prima risposta è spesso la più accurata.


Grazie

1 = Per nulla d'accordo; 3 = Abbastanza d'accordo; 4 = Completamente d'accordo - Riesco a liberarmi delle preoccupazioni con facilità.","Per favore legga attentamente ogni affermazione e valuti quanto si trova in accordo con essa, ponendo il numero appropriato nello spazio apposito accanto a
ciascuna affermazione.
È importante ricordare che non ci sono risposte giuste o sbagliate. 

Non si soffermi troppo su ogni affermazione: la prima risposta è spesso la più accurata.


Grazie

1 = Per nulla d'accordo; 3 = Abbastanza d'accordo; 4 = Completamente d'accordo - Appena finisco un compito, inizio a preoccuparmi per qualunque altra cosa devo fare.","Per favore legga attentamente ogni affermazione e valuti quanto si trova in accordo con essa, ponendo il numero appropriato nello spazio apposito accanto a
ciascuna affermazione.
È importante ricordare che non ci sono risposte giuste o sbagliate. 

Non si soffermi troppo su ogni affermazione: la prima risposta è spesso la più accurata.


Grazie

1 = Per nulla d'accordo; 3 = Abbastanza d'accordo; 4 = Completamente d'accordo - È raro che io mi preoccupi per qualcosa.","Per favore legga attentamente ogni affermazione e valuti quanto si trova in accordo con essa, ponendo il numero appropriato nello spazio apposito accanto a
ciascuna affermazione.
È importante ricordare che non ci sono risposte giuste o sbagliate. 

Non si soffermi troppo su ogni affermazione: la prima risposta è spesso la più accurata.


Grazie

1 = Per nulla d'accordo; 3 = Abbastanza d'accordo; 4 = Completamente d'accordo - Quando non c’è altro che io possa fare riguardo a un problema, allora smetto di preoccuparmi.","Per favore legga attentamente ogni affermazione e valuti quanto si trova in accordo con essa, ponendo il numero appropriato nello spazio apposito accanto a
ciascuna affermazione.
È importante ricordare che non ci sono risposte giuste o sbagliate. 

Non si soffermi troppo su ogni affermazione: la prima risposta è spesso la più accurata.


Grazie

1 = Per nulla d'accordo; 3 = Abbastanza d'accordo; 4 = Completamente d'accordo - Da sempre sono una persona che si preoccupa.","Per favore legga attentamente ogni affermazione e valuti quanto si trova in accordo con essa, ponendo il numero appropriato nello spazio apposito accanto a
ciascuna affermazione.
È importante ricordare che non ci sono risposte giuste o sbagliate. 

Non si soffermi troppo su ogni affermazione: la prima risposta è spesso la più accurata.


Grazie

1 = Per nulla d'accordo; 3 = Abbastanza d'accordo; 4 = Completamente d'accordo - Sono così abituato a preoccuparmi che spesso non me ne rendo conto.","Per favore legga attentamente ogni affermazione e valuti quanto si trova in accordo con essa, ponendo il numero appropriato nello spazio apposito accanto a
ciascuna affermazione.
È importante ricordare che non ci sono risposte giuste o sbagliate. 

Non si soffermi troppo su ogni affermazione: la prima risposta è spesso la più accurata.


Grazie

1 = Per nulla d'accordo; 3 = Abbastanza d'accordo; 4 = Completamente d'accordo - Una volta che inizio a preoccuparmi, non posso fermarmi.","Per favore legga attentamente ogni affermazione e valuti quanto si trova in accordo con essa, ponendo il numero appropriato nello spazio apposito accanto a
ciascuna affermazione.
È importante ricordare che non ci sono risposte giuste o sbagliate. 

Non si soffermi troppo su ogni affermazione: la prima risposta è spesso la più accurata.


Grazie

1 = Per nulla d'accordo; 3 = Abbastanza d'accordo; 4 = Completamente d'accordo - Passo gran parte del mio tempo a preoccuparmi.","Per favore legga attentamente ogni affermazione e valuti quanto si trova in accordo con essa, ponendo il numero appropriato nello spazio apposito accanto a
ciascuna affermazione.
È importante ricordare che non ci sono risposte giuste o sbagliate. 

Non si soffermi troppo su ogni affermazione: la prima risposta è spesso la più accurata.


Grazie

1 = Per nulla d'accordo; 3 = Abbastanza d'accordo; 4 = Completamente d'accordo - Finché una cosa non è fatta continua a essere al centro delle mie preoccupazioni."
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3""}","{""ImportId"":""QID2""}","{""ImportId"":""QID2_3_TEXT""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID1_4""}","{""ImportId"":""QID1_5""}","{""ImportId"":""QID1_6""}","{""ImportId"":""QID1_7""}","{""ImportId"":""QID1_8""}","{""ImportId"":""QID1_9""}","{""ImportId"":""QID1_10""}","{""ImportId"":""QID1_11""}","{""ImportId"":""QID1_12""}","{""ImportId"":""QID1_13""}","{""ImportId"":""QID1_14""}","{""ImportId"":""QID1_15""}","{""ImportId"":""QID1_16""}"
2026-03-30 12:53:27,2026-03-30 12:55:04,IP Address,217.200.102.199,100,96,True,2026-03-30 12:55:04,R_2ouVoqwaBqvSZsa,,,,,43.1479,12.1097,anonymous,EN,18-25,Femminile,,2,4,1,4,4,5,3,1,4,1,2,4,4,5,4,4
2026-03-30 12:53:39,2026-03-30 12:55:17,IP Address,147.162.110.39,100,97,True,2026-03-30 12:55:17,R_2cAsMyqTcpJJr1F,,,,,45.413,11.8806,anonymous,EN,18-25,Maschile,,3,2,3,4,2,2,2,4,2,3,2,2,1,1,2,3
2026-03-30 12:53:45,2026-03-30 12:55:18,IP Address,147.162.110.39,100,92,True,2026-03-30 12:55:18,R_2k7A3KksEOozQ5i,,,,,45.413,11.8806,anonymous,EN,18-25,Femminile,,2,1,2,1,3,3,2,4,3,2,3,3,3,2,2,4
2026-03-30 12:53:35,2026-03-30 12:55:20,IP Address,78.210.217.28,100,105,True,2026-03-30 12:55:21,R_2PzjU6JNYudKvEK,,,,,43.1479,12.1097,anonymous,EN,18-25,Maschile,,3,3,2,3,3,2,3,2,2,1,2,2,2,2,2,3
2026-03-30 12:53:32,2026-03-30 12:55:28,IP Address,147.162.110.39,100,115,True,2026-03-30 12:55:28,R_8V7R38INdN96o93,,,,,45.413,11.8806,anonymous,EN,18-25,Femminile,,1,4,1,5,5,4,4,2,5,1,1,4,4,4,4,5
2026-03-30 12:53:53,2026-03-30 12:55:32,IP Address,147.162.110.39,100,99,True,2026-03-30 12:55:33,R_2K1oH5EmsZ9ejBa,,,,,45.413,11.8806,anonymous,EN,26-40,Femminile,,2,4,2,3,4,4,4,2,4,1,2,4,5,4,4,5
2026-03-30 12:53:39,2026-03-30 12:55:35,IP Address,147.162.110.41,100,115,True,2026-03-30 12:55:35,R_2E5vgphevvHtNSh,,,,,45.413,11.8806,anonymous,EN,18-25,Maschile,,3,1,2,2,1,2,1,2,2,2,3,2,1,1,1,3
2026-03-30 12:53:35,2026-03-30 12:55:36,IP Address,147.162.110.37,100,121,True,2026-03-30 12:55:37,R_8dX1HMrpPUTU7h5,,,,,45.413,11.8806,anonymous,EN,18-25,Femminile,,2,2,4,2,2,4,2,2,2,2,4,1,1,2,2,1
